id,code,month,Value
212,IE,2025-04,805
213,IT,2024-07,477
214,US,2025-02,478
215,DE,2025-07,586
216,DE,2024-09,787
217,HR,2024-12,117
218,US,2025-01,743
219,US,2025-09,126
220,IT,2025-05,802
221,IE,2024-06,56
222,US,2025-08,887
223,AT,2025-08,791
224,US,2025-08,360
225,FR,2025-02,491
226,US,2024-07,424
227,US,2025-01,689
228,DE,2024-10,69
229,US,2025-02,519
230,AT,2025-11,654
231,DE,2024-04,697
232,US,2025-08,855
233,US,2024-08,535
234,IT,2024-08,804
235,US,2024-08,576
236,US,2024-04,679
237,US,2025-06,141
238,DE,2024-05,531
239,US,2025-10,326
240,US,2024-03,877
241,IE,2025-07,776
242,US,2025-11,624
243,IT,2024-08,922
244,DE,2024-02,986
245,US,2024-04,147
246,US,2024-09,82
247,DE,2024-09,194
248,US,2025-01,255
249,US,2025-06,722
250,US,2025-06,732
251,IE,2025-05,549
252,US,2024-08,459
253,US,2024-09,924
254,US,2025-06,387
255,US,2025-03,374
256,DE,2024-03,185
257,US,2024-01,624
258,DE,2025-12,688
259,US,2025-02,160
260,DE,2024-12,156
261,US,2025-01,762
262,IE,2024-08,768
263,ES,2025-04,422
264,US,2024-09,53
265,US,2024-12,990
266,DE,2024-03,177
267,US,2024-05,139
268,ES,2024-01,264
269,IT,2024-09,602
270,US,2025-02,318
271,FR,2024-05,961
272,US,2025-08,154
273,US,2025-03,830
274,US,2025-03,315
275,ES,2024-11,59
276,US,2024-12,100
277,US,2024-12,373
278,US,2024-03,305
279,DE,2024-09,398
280,US,2024-01,23
281,US,2024-05,760
282,DE,2024-05,975
283,IE,2025-10,465
284,IE,2024-05,126
285,DE,2024-04,405
286,DE,2025-04,438
287,IT,2024-09,6
288,DE,2024-04,796
289,US,2024-12,351
290,DE,2025-10,995
291,US,2025-11,184
292,US,2025-11,681
293,US,2024-07,214
294,US,2024-08,689
295,IT,2025-09,889
296,US,2024-10,659
297,DE,2024-01,84
298,AT,2024-11,233
299,FR,2025-04,228
300,AT,2024-07,918
301,BG,2025-10,893
302,DE,2025-08,414
303,FR,2024-08,583
304,AT,2025-03,789
305,GR,2025-01,87
306,IT,2024-11,29
307,DE,2024-04,37
308,US,2024-12,924
309,IT,2024-04,53
310,US,2024-05,637
311,PT,2025-11,701
312,US,2025-11,991
313,US,2024-07,830
314,US,2025-12,39
315,SK,2024-05,291
316,DE,2025-05,484
317,FR,2025-10,446
318,US,2025-10,794
319,IT,2024-02,692
320,PT,2025-06,366
321,IT,2025-11,588
322,DE,2024-02,471
323,DE,2025-12,788
324,US,2025-09,762
325,US,2025-05,13
326,US,2025-11,311
327,US,2025-01,128
328,US,2025-05,181
329,US,2025-10,586
330,US,2025-02,530
331,AT,2025-07,356
332,US,2025-07,438
333,US,2024-02,699
334,DE,2025-12,102
335,US,2024-04,298
336,BE,2025-12,385
337,US,2025-11,440
338,BE,2025-07,980
339,US,2024-07,384
340,US,2025-09,4
341,US,2024-11,868
342,US,2024-08,213
343,AT,2024-05,442
344,LU,2024-01,321
345,US,2024-10,429
346,US,2024-02,50
347,US,2024-04,499
348,US,2024-08,836
349,US,2025-05,88
350,IT,2024-12,161
351,FR,2025-09,572
352,IE,2024-02,204
353,US,2025-06,543
354,US,2025-10,272
355,US,2024-04,445
356,DE,2024-10,495
357,US,2024-06,990
358,US,2025-08,817
359,DE,2024-11,845
360,US,2024-07,893
361,FR,2025-06,410
362,US,2025-01,616
363,DK,2024-12,230
364,US,2025-09,919
365,ES,2024-11,338
366,BG,2024-02,5
367,IT,2024-02,862
368,IT,2024-06,896
369,US,2025-03,802
370,US,2024-12,482
371,IT,2024-02,355
372,ES,2024-04,86
373,US,2025-02,551
374,US,2024-11,266
375,IT,2025-06,279
376,IE,2025-03,881
377,US,2025-09,811
378,US,2025-06,289
379,DK,2025-11,226
380,US,2025-05,129
381,NL,2024-08,220
382,FR,2025-07,315
383,IT,2024-12,249
384,US,2024-08,888
385,SE,2025-05,782
386,US,2024-10,81
387,FR,2024-11,557
388,US,2024-03,89
389,IT,2025-01,101
390,ES,2024-04,955
391,ES,2024-11,704
392,FR,2024-02,634
393,DE,2024-01,14
394,ES,2025-03,374
395,US,2024-08,864
396,US,2024-03,554
397,US,2024-08,515
398,US,2024-02,964
399,IT,2024-06,333
400,GR,2024-01,560
401,IT,2025-07,343
402,US,2025-05,564
403,DE,2024-11,531
404,US,2025-01,600
405,BE,2025-07,623
406,US,2024-12,71
407,NL,2024-02,889
408,DE,2025-06,550
409,PL,2025-05,616
410,US,2025-12,617
411,US,2024-10,484
412,US,2024-01,927
413,AT,2024-04,137
414,US,2025-12,52
415,FR,2024-08,506
416,IT,2024-05,786
417,LU,2024-06,763
418,BE,2025-03,710
419,US,2025-05,633
420,FR,2024-10,933
421,DE,2024-09,777
422,BE,2025-12,942
423,SE,2025-09,144
424,DE,2024-10,873
425,US,2024-08,862
426,US,2025-12,280
427,US,2025-11,449
428,US,2025-04,401
429,US,2024-04,836
430,AT,2025-04,702
431,US,2025-05,171
432,IT,2024-04,366
433,US,2024-05,638
434,US,2025-02,238
435,US,2024-04,770
436,DE,2024-09,65
437,CZ,2025-04,73
438,BE,2025-04,860
439,DE,2025-03,691
440,IT,2024-06,448
441,DE,2025-02,818
442,IE,2025-12,555
443,AT,2024-08,881
444,IT,2024-02,915
445,US,2024-07,159
446,SE,2024-03,761
447,US,2024-08,365
448,US,2025-05,693
449,IT,2024-08,335
450,IT,2025-10,172
451,US,2025-08,963
452,US,2025-07,577
453,DE,2024-12,609
454,IT,2025-12,602
455,US,2024-07,866
456,RO,2025-02,837
457,US,2025-05,564
458,US,2025-03,340
459,US,2024-05,498
460,US,2025-05,461
461,AT,2025-01,640
462,MT,2025-12,504
463,IT,2025-05,869
464,US,2024-09,264
465,US,2024-01,464
466,US,2024-10,978
467,IE,2024-01,302
468,US,2024-11,946
469,DE,2025-02,385
470,US,2025-02,633
471,US,2024-08,382
472,US,2025-05,383
473,IT,2024-03,788
474,US,2025-05,458
475,NL,2024-02,977
476,US,2025-05,584
477,US,2024-05,425
478,US,2025-03,337
479,US,2024-08,786
480,IT,2024-03,147
481,SK,2025-03,639
482,IT,2024-10,64
483,NL,2024-12,207
484,US,2024-08,125
485,ES,2025-02,487
486,US,2024-03,876
487,US,2024-08,379
488,US,2024-07,148
489,PL,2025-01,139
490,IT,2025-09,15
491,US,2024-03,75
492,US,2024-04,90
493,US,2025-09,341
494,US,2025-12,572
495,US,2025-09,129
496,FR,2025-11,47
497,HU,2024-12,587
498,US,2025-11,84
499,IT,2024-11,316
500,AT,2025-12,63
501,FR,2025-03,575
502,DE,2024-11,679
503,LT,2024-01,33
504,DE,2024-11,93
505,US,2024-08,193
506,BE,2025-07,538
507,US,2025-01,445
508,US,2025-03,850
509,US,2024-12,635
510,US,2024-02,876
511,US,2025-09,242
512,FR,2025-05,623
513,US,2025-04,947
514,US,2024-01,867
515,US,2025-10,533
516,DE,2024-09,335
517,US,2024-09,388
518,AT,2025-01,714
519,US,2025-12,398
520,IT,2025-09,964
521,AT,2025-11,725
522,DE,2025-09,440
523,IE,2025-01,961
524,US,2025-06,595
525,DE,2024-08,903
526,DE,2025-07,98
527,US,2025-08,688
528,IT,2025-08,275
529,US,2025-01,978
530,US,2024-03,582
531,US,2024-12,597
532,DE,2025-07,764
533,DE,2025-07,126
534,US,2025-07,296
535,FR,2024-01,542
536,DE,2024-08,809
537,IT,2025-03,342
538,BE,2025-12,746
539,US,2025-06,349
540,DE,2024-01,322
541,US,2024-07,688
542,US,2024-11,482
543,US,2024-05,140
544,US,2024-07,432
545,US,2024-08,144
546,DE,2024-08,898
547,US,2025-11,239
548,US,2025-09,3
549,ES,2024-03,138
550,US,2024-05,82
551,US,2025-10,117
552,US,2025-12,901
553,US,2025-06,67
554,IT,2024-05,172
555,IT,2024-08,981
556,US,2025-05,112
557,IT,2025-04,453
558,US,2024-12,739
559,US,2025-06,730
560,DE,2024-05,81
561,US,2025-01,492
562,US,2024-05,256
563,DE,2025-10,830
564,US,2025-07,574
565,US,2025-01,772
566,DE,2025-09,798
567,FR,2024-01,556
568,DE,2024-10,854
569,IT,2024-05,303
570,US,2024-04,518
571,US,2024-06,966
572,DE,2024-01,725
573,US,2024-09,634
574,US,2025-10,61
575,US,2025-09,636
576,US,2025-06,297
577,FR,2025-06,364
578,US,2024-12,686
579,IT,2025-12,192
580,US,2025-11,829
581,AT,2025-01,361
582,US,2025-07,270
583,AT,2024-09,900
584,US,2025-06,828
585,DE,2025-03,290
586,US,2024-12,85
587,US,2024-08,468
588,US,2024-04,501
589,FR,2025-04,207
590,IT,2024-12,129
591,US,2025-09,673
592,IT,2025-10,930
593,DE,2025-03,630
594,US,2024-02,229
595,DE,2024-12,578
596,US,2024-03,735
597,US,2025-08,413
598,DE,2025-03,538
599,US,2025-04,205
600,ES,2024-11,991
601,US,2025-03,580
602,DE,2025-10,778
603,DK,2024-02,121
604,US,2024-06,631
605,US,2025-07,782
606,US,2024-04,577
607,US,2024-09,274
608,US,2025-06,733
609,US,2024-08,399
610,US,2024-11,728
611,US,2024-06,971
612,US,2025-03,405
613,BE,2024-01,483
614,US,2025-03,139
615,US,2024-03,425
616,US,2025-11,350
617,IT,2024-09,988
618,US,2025-09,953
619,LT,2024-05,696
620,DE,2024-09,189
621,DE,2025-04,388
622,US,2025-04,224
623,US,2024-12,213
624,ES,2024-10,432
625,DE,2025-02,940
626,PL,2024-07,624
627,IT,2025-05,742
628,NL,2024-01,946
629,NL,2025-01,376
630,IT,2024-06,807
631,US,2025-08,399
632,US,2025-11,464
633,US,2025-04,189
634,FR,2024-03,320
635,US,2024-08,115
636,NL,2025-07,909
637,US,2024-06,139
638,US,2025-12,776
639,IE,2024-11,993
640,US,2025-11,197
641,LT,2025-10,861
642,DK,2025-08,576
643,ES,2025-09,227
644,US,2024-07,411
645,US,2025-10,76
646,US,2025-03,497
647,IT,2025-02,551
648,DE,2025-01,121
649,DE,2025-01,590
650,DE,2024-02,678
651,IE,2024-12,814
652,US,2024-04,251
653,US,2025-09,953
654,US,2024-08,92
655,AT,2024-11,852
656,US,2024-11,821
657,AT,2025-04,449
658,ES,2024-01,730
659,US,2025-01,400
660,LT,2025-12,595
661,AT,2025-07,210
662,DE,2024-03,768
663,US,2025-10,818
664,IT,2025-11,29
665,US,2025-07,649
666,IE,2025-12,97
667,FR,2024-10,418
668,IT,2024-12,298
669,CZ,2025-12,962
670,US,2024-08,730
671,SE,2024-02,213
672,FR,2024-02,178
673,US,2025-01,249
674,US,2025-02,921
675,IT,2024-02,459
676,DE,2025-05,619
677,US,2024-06,774
678,AT,2024-12,90
679,IT,2025-05,227
680,DE,2024-05,926
681,BE,2024-05,685
682,US,2024-06,961
683,DE,2025-09,168
684,US,2025-08,714
685,NL,2025-05,383
686,HU,2024-12,915
687,US,2025-03,163
688,US,2024-10,490
689,DE,2025-07,78
690,IT,2024-09,177
691,US,2025-11,778
692,US,2025-09,678
693,US,2024-02,121
694,US,2024-10,505
695,PL,2024-09,634
696,US,2024-02,960
697,PT,2024-12,107
698,US,2025-08,861
699,FR,2025-11,87
700,US,2025-12,897
701,US,2024-11,194
702,US,2024-01,41
703,US,2024-06,765
704,US,2025-04,544
705,US,2025-02,570
706,BE,2024-09,668
707,US,2025-08,826
708,DE,2024-06,517
709,FR,2025-04,503
710,US,2024-03,50
711,DE,2024-10,581
712,US,2024-05,627
713,US,2025-11,441
714,IE,2025-02,553
715,IE,2025-11,500
716,US,2025-08,637
717,US,2025-12,693
718,IE,2024-05,616
719,US,2024-09,195
720,DK,2025-12,346
721,EE,2025-05,776
722,US,2024-03,869
723,US,2025-05,200
724,US,2024-02,90
725,US,2025-10,792
726,FR,2024-06,954
727,DE,2025-10,761
728,DE,2025-09,42
729,US,2024-05,329
730,ES,2025-06,677
731,US,2024-09,359
732,AT,2024-04,311
733,FR,2024-09,873
734,ES,2025-09,136
735,US,2025-08,816
736,FR,2025-09,57
737,FR,2025-11,101
738,US,2024-12,752
739,US,2024-04,267
740,FR,2025-01,935
741,US,2024-06,766
742,US,2024-03,218
743,IT,2024-02,55
744,CZ,2025-08,368
745,ES,2025-03,258
746,US,2025-06,202
747,FR,2024-08,941
748,US,2024-01,846
749,AT,2025-03,111
750,US,2025-12,74
751,US,2024-10,286
752,US,2025-08,908
753,AT,2024-06,639
754,US,2025-03,594
755,US,2024-07,322
756,US,2024-06,977
757,US,2025-03,356
758,US,2024-03,196
759,US,2024-05,94
760,US,2025-07,877
761,US,2024-07,776
762,US,2024-02,522
763,FR,2025-06,316
764,FR,2024-09,91
765,US,2025-02,749
766,SE,2025-06,26
767,US,2024-07,320
768,IE,2024-05,661
769,US,2025-05,981
770,FR,2024-03,267
771,BG,2024-08,420
772,US,2025-07,46
773,US,2024-02,161
774,US,2025-10,460
775,US,2025-04,100
776,DE,2025-10,934
777,US,2024-12,4
778,US,2025-08,519
779,US,2025-01,166
780,US,2025-05,546
781,AT,2025-09,707
782,US,2024-03,746
783,AT,2024-07,790
784,AT,2024-11,445
785,US,2025-10,775
786,US,2025-08,663
787,US,2024-10,532
788,US,2025-08,872
789,US,2025-03,274
790,US,2025-03,26
791,US,2024-12,555
792,US,2025-04,433
793,IT,2024-11,617
794,US,2024-01,445
795,CY,2025-02,479
796,US,2024-01,794
797,HR,2024-08,36
798,BG,2025-09,367
799,US,2025-01,723
800,US,2025-05,172
801,DE,2025-10,56
802,US,2024-04,8
803,IT,2024-12,9
804,US,2024-06,390
805,IT,2024-07,359
806,US,2024-04,224
807,ES,2025-09,12
808,DK,2024-08,852
809,US,2024-07,27
810,US,2025-07,411
811,IT,2024-04,305
812,US,2024-05,627
813,DE,2025-11,514
814,IT,2024-07,931
815,US,2025-06,285
816,NL,2025-08,603
817,US,2024-01,729
818,US,2024-08,277
819,DE,2024-12,227
820,US,2024-01,418
821,US,2025-07,145
822,US,2024-11,422
823,LU,2025-06,73
824,US,2025-09,45
825,US,2025-09,288
826,US,2024-09,121
827,US,2024-04,510
828,AT,2025-12,35
829,FR,2024-04,749
830,IE,2025-09,143
831,DE,2024-09,245
832,AT,2025-09,787
833,US,2024-05,315
834,AT,2024-02,804
835,FR,2024-07,924
836,US,2025-03,783
837,US,2024-05,570
838,IT,2024-08,699
839,US,2024-09,585
840,DE,2025-12,506
841,IT,2024-03,884
842,DE,2024-10,109
843,DE,2024-11,562
844,DE,2024-11,413
845,US,2024-01,714
846,US,2025-03,722
847,IT,2024-02,353
848,US,2024-01,418
849,FR,2024-01,353
850,US,2025-06,903
851,US,2024-09,513
852,US,2024-01,34
853,US,2024-05,207
854,US,2025-03,495
855,US,2025-12,344
856,US,2025-12,364
857,US,2024-01,726
858,IE,2024-04,897
859,US,2025-02,926
860,PT,2025-09,192
861,BE,2024-05,108
862,US,2024-09,419
863,US,2025-08,493
864,US,2025-03,109
865,US,2024-12,63
866,US,2025-01,764
867,IT,2024-04,882
868,IT,2025-07,691
869,US,2024-05,128
870,DE,2024-01,191
871,BE,2025-06,246
872,IT,2024-03,927
873,DE,2025-03,601
874,US,2024-08,977
875,IT,2024-10,432
876,US,2025-02,515
877,DE,2024-11,809
878,DE,2025-09,508
879,US,2025-05,375
880,IT,2025-01,566
881,DE,2024-01,23
882,US,2024-03,831
883,US,2025-01,304
884,FR,2025-07,162
885,AT,2024-10,35
886,US,2024-09,999
887,US,2025-03,301
888,AT,2024-12,524
889,US,2024-02,591
890,DE,2025-10,344
891,SI,2025-06,694
892,US,2024-11,22
893,US,2025-10,942
894,AT,2025-12,957
895,US,2025-05,541
896,AT,2025-12,658
897,US,2024-03,373
898,IT,2025-12,475
899,ES,2024-01,980
900,US,2024-12,119
901,US,2024-12,359
902,IT,2025-03,28
903,US,2024-06,531
904,US,2024-05,512
905,PT,2025-11,544
906,US,2025-12,844
907,US,2024-11,193
908,BE,2025-02,837
909,IT,2025-08,790
910,DE,2025-11,985
911,AT,2025-04,293
912,US,2024-02,132
913,FR,2025-07,58
914,US,2024-04,811
915,US,2024-08,586
916,US,2025-05,88
917,IT,2024-10,100
918,IT,2024-09,238
919,PL,2024-07,522
920,US,2024-04,946
921,US,2025-07,164
922,US,2025-10,184
923,US,2024-09,639
924,DE,2024-11,929
925,US,2025-02,177
926,FR,2024-02,828
927,US,2025-10,137
928,FR,2025-08,899
929,US,2025-06,445
930,US,2024-12,944
931,IT,2024-01,606
932,US,2024-11,398
933,IT,2024-11,443
934,IT,2025-08,416
935,IE,2025-09,292
936,US,2024-03,664
937,US,2025-09,217
938,AT,2024-07,707
939,BE,2025-09,251
940,US,2025-08,275
941,US,2025-10,593
942,ES,2024-06,726
943,FR,2024-09,807
944,US,2025-03,324
945,US,2025-06,329
946,DE,2025-07,335
947,GR,2025-02,939
948,US,2025-10,518
949,AT,2024-03,450
950,DE,2025-10,457
951,US,2025-09,992
952,US,2024-08,603
953,US,2024-10,906
954,US,2025-08,923
955,AT,2025-08,739
956,AT,2024-06,252
957,IT,2025-10,872
958,US,2024-02,442
959,US,2025-06,877
960,US,2024-02,727
961,US,2025-06,406
962,BE,2024-08,983
963,US,2025-09,895
964,US,2024-05,47
965,AT,2025-10,59
966,US,2025-06,880
967,DE,2025-08,526
968,DE,2025-02,324
969,US,2025-09,722
970,US,2024-02,364
971,US,2025-05,624
972,US,2025-05,574
973,US,2024-11,12
974,US,2025-09,430
975,FR,2024-11,177
976,IT,2024-04,306
977,US,2024-10,638
978,IE,2025-07,448
979,IT,2024-04,63
980,US,2024-01,591
981,US,2024-05,36
982,BE,2024-09,672
983,PT,2025-11,232
984,US,2024-10,746
985,FR,2024-01,977
986,US,2024-03,222
987,PL,2024-11,414
988,US,2024-08,559
989,IT,2024-05,359
990,US,2025-04,985
991,US,2024-10,595
992,IT,2025-05,962
993,US,2024-12,665
994,US,2024-03,882
995,AT,2025-02,71
996,PT,2024-11,488
997,US,2025-04,797
998,US,2024-11,290
999,DE,2025-07,162
1000,DE,2024-10,351
